axis,series,x,y
0,experiment_1a_baseline_agents.count_20 (n=20),90,42
0,experiment_1a_baseline_agents.count_20 (n=20),95,43
0,experiment_1a_baseline_agents.count_20 (n=20),100,46
0,experiment_1a_baseline_agents.count_20 (n=20),105,50
0,experiment_1a_baseline_agents.count_20 (n=20),110,54
0,experiment_1a_baseline_agents.count_20 (n=20),115,57
0,experiment_1a_baseline_agents.count_20 (n=20),120,62
0,experiment_1a_baseline_agents.count_20 (n=20),125,62
0,experiment_1a_baseline_agents.count_20 (n=20),130,64
0,experiment_1a_baseline_agents.count_20 (n=20),135,64
0,experiment_1a_baseline_agents.count_20 (n=20),140,66
0,experiment_1a_baseline_agents.count_20 (n=20),145,70
0,experiment_1a_baseline_agents.count_20 (n=20),150,73
0,experiment_1a_baseline_agents.count_20 (n=20),155,75
0,experiment_1a_baseline_agents.count_20 (n=20),160,77
0,experiment_1a_baseline_agents.count_20 (n=20),165,79
0,experiment_1a_baseline_agents.count_20 (n=20),170,79
0,experiment_1a_baseline_agents.count_20 (n=20),175,79
0,experiment_1a_baseline_agents.count_20 (n=20),180,79
0,experiment_1a_baseline_agents.count_20 (n=20),185,79
0,experiment_1a_baseline_agents.count_30 (n=30),5,0
0,experiment_1a_baseline_agents.count_30 (n=30),10,0
0,experiment_1a_baseline_agents.count_30 (n=30),15,0
0,experiment_1a_baseline_agents.count_30 (n=30),20,2
0,experiment_1a_baseline_agents.count_30 (n=30),25,4
0,experiment_1a_baseline_agents.count_30 (n=30),30,5
0,experiment_1a_baseline_agents.count_30 (n=30),35,5
0,experiment_1a_baseline_agents.count_30 (n=30),40,9
0,experiment_1a_baseline_agents.count_30 (n=30),45,20
0,experiment_1a_baseline_agents.count_30 (n=30),50,26
0,experiment_1a_baseline_agents.count_30 (n=30),55,27
0,experiment_1a_baseline_agents.count_30 (n=30),60,30
0,experiment_1a_baseline_agents.count_30 (n=30),65,38
0,experiment_1a_baseline_agents.count_30 (n=30),70,43
0,experiment_1a_baseline_agents.count_30 (n=30),75,45
0,experiment_1a_baseline_agents.count_30 (n=30),80,46
0,experiment_1a_baseline_agents.count_30 (n=30),85,48
0,experiment_1a_baseline_agents.count_30 (n=30),90,52
0,experiment_1a_baseline_agents.count_30 (n=30),95,53
0,experiment_1a_baseline_agents.count_30 (n=30),100,55
0,experiment_1a_baseline_agents.count_30 (n=30),105,55
0,experiment_1a_baseline_agents.count_30 (n=30),110,56
0,experiment_1a_baseline_agents.count_30 (n=30),115,59
0,experiment_1a_baseline_agents.count_30 (n=30),120,62
0,experiment_1a_baseline_agents.count_30 (n=30),125,63
0,experiment_1a_baseline_agents.count_30 (n=30),130,64
0,experiment_1a_baseline_agents.count_30 (n=30),135,70
0,experiment_1a_baseline_agents.count_30 (n=30),140,73
0,experiment_1a_baseline_agents.count_30 (n=30),145,75
0,experiment_1a_baseline_agents.count_30 (n=30),150,76
0,experiment_1a_baseline_agents.count_30 (n=30),155,78
0,experiment_1a_baseline_agents.count_40 (n=40),5,0
0,experiment_1a_baseline_agents.count_40 (n=40),10,0
0,experiment_1a_baseline_agents.count_40 (n=40),15,0
0,experiment_1a_baseline_agents.count_40 (n=40),20,2
0,experiment_1a_baseline_agents.count_40 (n=40),25,3
0,experiment_1a_baseline_agents.count_40 (n=40),30,5
0,experiment_1a_baseline_agents.count_40 (n=40),35,5
0,experiment_1a_baseline_agents.count_40 (n=40),40,14
0,experiment_1a_baseline_agents.count_40 (n=40),45,30
0,experiment_1a_baseline_agents.count_40 (n=40),50,34
0,experiment_1a_baseline_agents.count_40 (n=40),55,41
0,experiment_1a_baseline_agents.count_40 (n=40),60,49
0,experiment_1a_baseline_agents.count_40 (n=40),65,52
0,experiment_1a_baseline_agents.count_40 (n=40),70,54
0,experiment_1a_baseline_agents.count_40 (n=40),75,58
0,experiment_1a_baseline_agents.count_40 (n=40),80,62
0,experiment_1a_baseline_agents.count_40 (n=40),85,66
0,experiment_1a_baseline_agents.count_40 (n=40),90,68
0,experiment_1a_baseline_agents.count_40 (n=40),95,73
0,experiment_1a_baseline_agents.count_40 (n=40),100,78
0,experiment_1a_baseline_agents.count_50 (n=50),5,0
0,experiment_1a_baseline_agents.count_50 (n=50),10,0
0,experiment_1a_baseline_agents.count_50 (n=50),15,0
0,experiment_1a_baseline_agents.count_50 (n=50),20,2
0,experiment_1a_baseline_agents.count_50 (n=50),25,5
0,experiment_1a_baseline_agents.count_50 (n=50),30,5
0,experiment_1a_baseline_agents.count_50 (n=50),35,6
0,experiment_1a_baseline_agents.count_50 (n=50),40,20
0,experiment_1a_baseline_agents.count_50 (n=50),45,34
0,experiment_1a_baseline_agents.count_50 (n=50),50,39
0,experiment_1a_baseline_agents.count_50 (n=50),55,43
0,experiment_1a_baseline_agents.count_50 (n=50),60,45
0,experiment_1a_baseline_agents.count_50 (n=50),65,59
0,experiment_1a_baseline_agents.count_50 (n=50),70,64
0,experiment_1a_baseline_agents.count_50 (n=50),75,67
0,experiment_1a_baseline_agents.count_50 (n=50),80,70
0,experiment_1a_baseline_agents.count_50 (n=50),85,75
0,experiment_1a_baseline_agents.count_60 (n=60),5,0
0,experiment_1a_baseline_agents.count_60 (n=60),10,0
0,experiment_1a_baseline_agents.count_60 (n=60),15,0
0,experiment_1a_baseline_agents.count_60 (n=60),20,2
0,experiment_1a_baseline_agents.count_60 (n=60),25,5
0,experiment_1a_baseline_agents.count_60 (n=60),30,7
0,experiment_1a_baseline_agents.count_60 (n=60),35,11
0,experiment_1a_baseline_agents.count_60 (n=60),40,24
0,experiment_1a_baseline_agents.count_60 (n=60),45,35
0,experiment_1a_baseline_agents.count_60 (n=60),50,40
0,experiment_1a_baseline_agents.count_60 (n=60),55,46
0,experiment_1a_baseline_agents.count_60 (n=60),60,54
0,experiment_1a_baseline_agents.count_60 (n=60),65,60
0,experiment_1a_baseline_agents.count_60 (n=60),70,67
0,experiment_1a_baseline_agents.count_60 (n=60),75,72
0,experiment_1a_baseline_agents.count_60 (n=60),80,76
0,experiment_1a_baseline_agents.count_60 (n=60),85,79
0,experiment_1a_baseline_agents.count_60 (n=60),90,79
0,experiment_1a_baseline_agents.count_60 (n=60),95,79
0,experiment_1a_baseline_agents.count_60 (n=60),100,79
0,experiment_1a_baseline_agents.count_70 (n=70),5,0
0,experiment_1a_baseline_agents.count_70 (n=70),10,0
0,experiment_1a_baseline_agents.count_70 (n=70),15,0
0,experiment_1a_baseline_agents.count_70 (n=70),20,4
0,experiment_1a_baseline_agents.count_70 (n=70),25,5
0,experiment_1a_baseline_agents.count_70 (n=70),30,5
0,experiment_1a_baseline_agents.count_70 (n=70),35,14
0,experiment_1a_baseline_agents.count_70 (n=70),40,27
0,experiment_1a_baseline_agents.count_70 (n=70),45,37
0,experiment_1a_baseline_agents.count_70 (n=70),50,44
0,experiment_1a_baseline_agents.count_70 (n=70),55,51
0,experiment_1a_baseline_agents.count_70 (n=70),60,67
0,experiment_1a_baseline_agents.count_70 (n=70),65,77
